renamed_proteinid,proteinid,og_number
cele313,CE00851,og
cele314,CE00852,og
cele315,CE00853,no_og
cele316,CE45955,no_og
cele317,CE16787,no_og
cele318,CE49217,no_og
cele319,CE16788,no_og
cele320,CE16789,og
cele321,CE16790,no_og
cele322,CE37693,no_og
cele323,CE16791,no_og
cele324,CE49241,no_og
cele325,CE49455,no_og
cele326,CE49300,og
cele327,CE52581,no_og
cele328,CE52643,no_og
cele329,CE52474,no_og
cele330,CE39312,no_og
cele331,CE31400,og
cele332,CE33547,og
cele333,CE37472,no_og
cele334,CE41972,no_og
cele335,CE24762,og
cele336,CE00735,no_og
cele337,CE37473,no_og
cele338,CE00733,og
cele339,CE34633,no_og
cele340,CE31868,no_og
cele341,CE29535,no_og
cele342,CE00815,no_og
cele343,CE00816,og
cele344,CE07712,no_og
cele345,CE42044,og
cele346,CE32096,no_og
cele347,CE07716,no_og
cele348,CE41547,og
cele349,CE07717,no_og
cele350,CE07718,no_og
cele351,CE40594,no_og
cele352,CE00651,no_og
cele353,CE28525,no_og
cele354,CE00652,no_og
cele355,CE40595,no_og
cele356,CE31401,no_og
cele357,CE44061,no_og
cele358,CE44020,no_og
cele359,CE00667,no_og
cele360,CE00643,og
cele361,CE36681,og
cele362,CE28526,og
cele363,CE00646,no_og
cele364,CE33590,no_og
cele365,CE33591,no_og
cele366,CE30066,no_og
cele367,CE36968,no_og
cele368,CE39661,og
cele369,CE03863,og
cele370,CE03864,og
cele371,CE29537,og
cele372,CE29538,og
cele373,CE39662,og
cele374,CE03865,no_og
cele375,CE36969,no_og
cele376,CE19656,no_og
cele377,CE35707,no_og
cele378,CE33506,no_og
cele379,CE33548,no_og
cele380,CE39887,no_og
cele381,CE35210,no_og
cele382,CE39551,no_og
cele383,CE50287,no_og
cele384,CE50231,no_og
cele385,CE00003,no_og
cele386,CE00004,og
cele387,CE39315,no_og
cele388,CE00536,og
cele389,CE00561,og
cele390,CE29540,no_og
cele391,CE36521,no_og
cele392,CE41973,no_og
cele393,CE00001,no_og
cele394,CE00539,og
cele395,CE31766,no_og
cele396,CE02423,no_og
cele397,CE30067,no_og
cele398,CE02424,no_og
cele399,CE27050,og
cele400,CE03872,no_og
cele401,CE33508,no_og
cele402,CE34634,no_og
cele403,CE38020,no_og
cele404,CE38021,no_og
cele405,CE38992,no_og
cele406,CE41749,no_og
cele407,CE41750,no_og
cele408,CE03875,no_og
cele409,CE52553,no_og
cele410,CE46910,no_og
cele411,CE03878,no_og
cele412,CE52568,no_og
cele413,CE03879,no_og
cele414,CE43023,no_og
cele415,CE15552,no_og
cele416,CE02932,no_og
cele417,CE19660,no_og
cele418,CE19661,no_og
cele419,CE32788,no_og
cele420,CE34635,no_og
cele421,CE45304,og
cele422,CE46556,no_og
cele423,CE36421,no_og
cele424,CE37874,no_og
cele425,CE19658,og
cele426,CE46937,og
cele427,CE02936,og
cele428,CE02937,og
cele429,CE30473,no_og
cele430,CE35926,no_og
cele431,CE43431,og
cele432,CE02940,no_og
cele433,CE00778,og
cele434,CE39202,og
cele435,CE52296,no_og
cele436,CE00780,no_og
cele437,CE26429,og
cele438,CE26743,no_og
cele439,CE50356,no_og
cele440,CE00696,og
cele441,CE29542,no_og
cele442,CE52545,no_og
cele443,CE52468,no_og
cele444,CE52587,no_og
cele445,CE32098,og
cele446,CE41974,no_og
cele447,CE29544,og
cele448,CE26356,og
cele449,CE29545,og
cele450,CE29546,no_og
cele451,CE37741,no_og
cele452,CE00776,og
cele453,CE31143,no_og
cele454,CE30068,no_og
cele455,CE31144,no_og
cele456,CE31145,no_og
cele457,CE31146,no_og
cele458,CE33963,no_og
cele459,CE17326,no_og
cele460,CE50535,no_og
cele461,CE32297,no_og
cele462,CE50651,no_og
cele463,CE30588,no_og
cele464,CE30589,no_og
cele465,CE36909,no_og
cele466,CE50594,no_og
cele467,CE50648,no_og
cele468,CE50546,no_og
cele469,CE50641,no_og
cele470,CE50604,no_og
cele471,CE50597,no_og
cele472,CE50563,no_og
cele473,CE50665,no_og
cele474,CE50619,og
cele475,CE50547,og
cele476,CE50580,no_og
cele477,CE50539,no_og
cele478,CE50649,no_og
cele479,CE50603,no_og
cele480,CE50591,no_og
cele481,CE50564,no_og
cele482,CE50660,og
cele483,CE50618,og
cele484,CE50633,og
cele485,CE50590,og
cele486,CE50556,og
cele487,CE50664,og
cele488,CE50544,no_og
cele489,CE50658,no_og
cele490,CE17331,og
cele491,CE27570,og
cele492,CE30590,og
cele493,CE50432,no_og
cele494,CE37694,no_og
cele495,CE06704,og
cele496,CE37695,no_og
cele497,CE31147,og
cele498,CE31847,no_og
cele499,CE06705,og
cele500,CE49185,no_og
cele501,CE49406,no_og
cele502,CE52037,no_og
cele503,CE52049,no_og
cele504,CE52046,no_og
cele505,CE52042,no_og
cele506,CE25471,no_og
cele507,CE20451,og
cele508,CE43666,og
cele509,CE52600,no_og
cele510,CE33549,og
cele511,CE38480,no_og
cele512,CE34242,no_og
cele513,CE43739,no_og
cele514,CE37696,og
cele515,CE37076,og
cele516,CE00835,og
cele517,CE32100,og
cele518,CE26792,og
cele519,CE00838,no_og
cele520,CE07719,og
cele521,CE07721,og
cele522,CE46505,no_og
cele523,CE46413,no_og
cele524,CE07723,no_og
cele525,CE46755,no_og
cele526,CE38482,no_og
cele527,CE20452,no_og
cele528,CE07725,no_og
cele529,CE40346,no_og
cele530,CE40347,no_og
cele531,CE34243,og
cele532,CE34244,og
cele533,CE41191,og
cele534,CE07729,no_og
cele535,CE23508,no_og
cele536,CE24768,no_og
cele537,CE47803,no_og
cele538,CE33020,no_og
cele539,CE46017,no_og
cele540,CE33021,no_og
cele541,CE24769,no_og
cele542,CE33753,no_og
cele543,CE17337,no_og
cele544,CE00854,og
cele545,CE00855,og
cele546,CE00856,no_og
cele547,CE00857,no_og
cele548,CE43273,no_og
cele549,CE33964,no_og
cele550,CE41345,no_og
cele551,CE32101,no_og
cele552,CE39122,no_og
cele553,CE41346,no_og
cele554,CE43178,no_og
cele555,CE02943,og
cele556,CE02944,og
cele557,CE31869,no_og
cele558,CE31870,no_og
cele559,CE31871,no_og
cele560,CE39663,no_og
cele561,CE40010,no_og
cele562,CE40889,no_og
cele563,CE42937,no_og
cele564,CE47666,no_og
cele565,CE38993,no_og
cele566,CE03880,og
cele567,CE38994,no_og
cele568,CE38581,no_og
cele569,CE06707,no_og
cele570,CE06708,og
cele571,CE27572,og
cele572,CE28814,no_og
cele573,CE26848,no_og
cele574,CE33550,no_og
cele575,CE01758,og
cele576,CE51460,og
cele577,CE51342,no_og
cele578,CE51467,no_og
cele579,CE51514,no_og
cele580,CE51289,no_og
cele581,CE26849,og
cele582,CE37176,no_og
cele583,CE24772,no_og
cele584,CE07733,no_og
cele585,CE41548,no_og
cele586,CE07736,no_og
cele587,CE07737,no_og
cele588,CE27573,no_og
cele589,CE30413,og
cele590,CE36910,no_og
cele591,CE46460,no_og
cele592,CE46207,no_og
cele593,CE51844,og
cele594,CE51858,og
cele595,CE51876,no_og
cele596,CE51890,no_og
cele597,CE02432,no_og
cele598,CE02433,no_og
cele599,CE02434,no_og
cele600,CE02435,og
cele601,CE29548,no_og
cele602,CE26434,og
cele603,CE02437,no_og
cele604,CE39552,no_og
cele605,CE50688,no_og
cele606,CE07748,no_og
cele607,CE07749,no_og
cele608,CE07750,no_og
cele609,CE40596,no_og
cele610,CE46010,no_og
cele611,CE50768,no_og
cele612,CE07740,og
cele613,CE07741,no_og
cele614,CE32102,og
cele615,CE29946,og
cele616,CE37742,og
cele617,CE45548,og
cele618,CE50873,og
cele619,CE50689,og
cele620,CE34637,og
cele621,CE34245,og
cele622,CE20455,no_og
cele623,CE25741,no_og
cele624,CE07752,no_og
cele625,CE45518,no_og
cele626,CE25742,no_og
cele627,CE25743,no_og
cele628,CE37697,no_og
cele629,CE07756,og
cele630,CE07757,no_og
cele631,CE42046,no_og
cele632,CE07759,no_og
cele633,CE02945,no_og
cele634,CE32789,no_og
cele635,CE36086,no_og
cele636,CE32790,no_og
cele637,CE02948,no_og
cele638,CE34638,no_og
cele639,CE40890,no_og
cele640,CE34639,no_og
cele641,CE44097,no_og
cele642,CE00015,og
cele643,CE20456,og
cele644,CE43518,no_og
cele645,CE00017,no_og
cele646,CE33592,og
cele647,CE36580,og
cele648,CE20457,og
cele649,CE36373,no_og
cele650,CE48284,og
cele651,CE33965,no_og
cele652,CE26704,og
cele653,CE36465,no_og
cele654,CE26705,og
cele655,CE27574,og
cele656,CE30123,og
cele657,CE06711,no_og
cele658,CE02103,og
cele659,CE02104,og
cele660,CE02105,og
cele661,CE02106,no_og
cele662,CE52506,no_og
cele663,CE02107,no_og
cele664,CE02108,no_og
cele665,CE41099,no_og
cele666,CE02109,og
cele667,CE20461,og
cele668,CE27790,og
cele669,CE02153,og
cele670,CE01759,no_og
cele671,CE42047,no_og
cele672,CE33022,no_og
cele673,CE42048,no_og
cele674,CE01761,no_og
cele675,CE52485,no_og
cele676,CE48832,no_og
cele677,CE29948,og
cele678,CE01764,no_og
cele679,CE29550,no_og
cele680,CE01766,og
cele681,CE29949,no_og
cele682,CE01767,no_og
cele683,CE06713,no_og
cele684,CE44349,no_og
cele685,CE06714,no_og
cele686,CE44329,no_og
cele687,CE44280,no_og
cele688,CE44313,no_og
cele689,CE44346,no_og
cele690,CE44360,no_og
cele691,CE44278,no_og
cele692,CE44297,no_og
cele693,CE44339,no_og
cele694,CE49580,no_og
cele695,CE06717,no_og
cele696,CE06718,no_og
cele697,CE06719,og
cele698,CE06720,og
cele699,CE28815,no_og
cele700,CE28875,no_og
cele701,CE36422,no_og
cele702,CE32561,og
cele703,CE07762,no_og
cele704,CE39664,no_og
cele705,CE35211,no_og
cele706,CE07764,no_og
cele707,CE45467,no_og
cele708,CE52174,no_og
cele709,CE48572,no_og
cele710,CE45448,no_og
cele711,CE07768,no_og
cele712,CE26851,no_og
cele713,CE17349,og
cele714,CE43974,no_og
cele715,CE46180,no_og
cele716,CE46251,og
cele717,CE50716,no_og
cele718,CE46132,og
cele719,CE46528,no_og
cele720,CE50760,no_og
cele721,CE46546,no_og
cele722,CE41858,no_og
cele723,CE17343,og
cele724,CE41859,no_og
cele725,CE26853,og
cele726,CE34246,og
cele727,CE28880,no_og
cele728,CE44875,no_og
cele729,CE41861,no_og
cele730,CE26854,no_og
cele731,CE46530,no_og
cele732,CE15557,no_og
cele733,CE44549,no_og
cele734,CE49953,no_og
cele735,CE23510,og
cele736,CE44713,no_og
cele737,CE15559,og
cele738,CE44704,no_og
cele739,CE15560,no_og
cele740,CE44678,no_og
cele741,CE37309,og
cele742,CE49937,no_og
cele743,CE48785,no_og
cele744,CE28426,og
cele745,CE39665,og
cele746,CE20462,no_og
cele747,CE36522,og
cele748,CE46197,og
cele749,CE44041,no_og
cele750,CE20466,no_og
cele751,CE44068,no_og
cele752,CE52482,no_og
cele753,CE17353,og
cele754,CE17354,og
cele755,CE48915,no_og
cele756,CE48532,no_og
cele757,CE16792,og
cele758,CE40597,og
cele759,CE48773,no_og
cele760,CE48698,no_og
cele761,CE48872,no_og
cele762,CE49022,no_og
cele763,CE16795,og
cele764,CE33354,og
cele765,CE49108,no_og
cele766,CE48708,no_og
cele767,CE06722,og
cele768,CE52217,no_og
cele769,CE52190,no_og
cele770,CE52074,no_og
cele771,CE07773,no_og
cele772,CE50784,no_og
cele773,CE47142,no_og
cele774,CE07777,no_og
cele775,CE50806,no_og
cele776,CE50878,no_og
cele777,CE50703,no_og
cele778,CE50763,no_og
cele779,CE02439,no_og
cele780,CE42436,no_og
cele781,CE45585,no_og
cele782,CE45545,og
cele783,CE30843,og
cele784,CE39666,no_og
cele785,CE29551,og
cele786,CE33513,og
cele787,CE41751,og
cele788,CE02445,no_og
cele789,CE39467,no_og
cele790,CE39468,no_og
cele791,CE05183,no_og
cele792,CE36087,no_og
cele793,CE47084,no_og
cele794,CE47394,no_og
cele795,CE36970,no_og
cele796,CE20469,og
cele797,CE37950,og
cele798,CE47748,no_og
cele799,CE43930,og
cele800,CE49751,no_og
cele801,CE05177,og
cele802,CE43147,og
cele803,CE05180,no_og
cele804,CE36971,no_og
cele805,CE49869,no_og
cele806,CE05180,no_og
cele807,CE39207,og
cele808,CE39208,og
cele809,CE50179,no_og
cele810,CE50245,no_og
cele811,CE50196,no_og
cele812,CE50136,no_og
cele813,CE50140,no_og
cele814,CE50174,no_og
cele815,CE50225,no_og
cele816,CE17358,no_og
cele817,CE30592,og
cele818,CE45357,no_og
cele819,CE15567,no_og
cele820,CE38137,no_og
cele821,CE46332,no_og
cele822,CE46312,no_og
cele823,CE46159,no_og
cele824,CE07784,no_og
cele825,CE42735,no_og
cele826,CE38582,og
cele827,CE34247,og
cele828,CE07787,og
cele829,CE42335,no_og
cele830,CE30236,no_og
cele831,CE46120,no_og
cele832,CE45328,no_og
cele833,CE49367,no_og
cele834,CE38583,no_og
cele835,CE33355,no_og
cele836,CE50120,no_og
cele837,CE34641,no_og
cele838,CE49435,no_og
cele839,CE06736,no_og
cele840,CE26856,no_og
cele841,CE26857,no_og
cele842,CE33357,no_og
cele843,CE29552,no_og
cele844,CE31149,no_og
cele845,CE49389,no_og
cele846,CE49285,no_og
cele847,CE44717,no_og
cele848,CE49231,no_og
cele849,CE06739,og
cele850,CE37181,og
cele851,CE07789,no_og
cele852,CE39124,no_og
cele853,CE07791,og
cele854,CE34642,no_og
cele855,CE50661,og
cele856,CE07796,no_og
cele857,CE38138,no_og
cele858,CE47493,no_og
cele859,CE20472,no_og
cele860,CE24773,no_og
cele861,CE20475,og
cele862,CE20476,no_og
cele863,CE51099,no_og
cele864,CE51067,no_og
cele865,CE20477,no_og
cele866,CE51130,no_og
cele867,CE32237,og
cele868,CE51136,no_og
cele869,CE51115,no_og
cele870,CE51065,no_og
cele871,CE29553,no_og
cele872,CE30719,no_og
cele873,CE45324,no_og
cele874,CE52291,no_og
cele875,CE06728,og
cele876,CE06729,no_og
cele877,CE06730,no_og
cele878,CE06731,no_og
cele879,CE41752,no_og
cele880,CE41753,no_og
cele881,CE44369,no_og
cele882,CE28881,no_og
cele883,CE02448,no_og
cele884,CE46850,no_og
cele885,CE02449,no_og
cele886,CE28882,no_og
cele887,CE29554,no_og
cele888,CE42053,no_og
cele889,CE03889,no_og
cele890,CE30846,no_og
cele891,CE26967,no_og
cele892,CE43742,no_og
cele893,CE06742,og
cele894,CE06743,og
cele895,CE06744,no_og
cele896,CE39553,no_og
cele897,CE06745,no_og
cele898,CE06746,no_og
cele899,CE39125,og
cele900,CE30414,no_og
cele901,CE33358,no_og
cele902,CE49698,no_og
cele903,CE46216,no_og
cele904,CE26968,no_og
cele905,CE02953,no_og
cele906,CE46813,no_og
cele907,CE02954,og
cele908,CE30847,og
cele909,CE30848,no_og
cele910,CE39888,og
cele911,CE39889,og
cele912,CE39890,no_og
cele913,CE47486,no_og
cele914,CE47559,no_og
cele915,CE49694,og
cele916,CE49735,og
cele917,CE49636,no_og
cele918,CE17360,og
cele919,CE30069,og
cele920,CE17361,og
cele921,CE49645,no_og
cele922,CE49692,no_og
cele923,CE44772,no_og
cele924,CE20480,og
cele925,CE39210,og
cele926,CE39211,no_og
cele927,CE45264,og
cele928,CE45251,no_og
cele929,CE45280,no_og
cele930,CE45243,og
cele931,CE07821,no_og
cele932,CE42210,no_og
cele933,CE34643,no_og
cele934,CE34644,no_og
cele935,CE39212,no_og
cele936,CE42430,no_og
cele937,CE42523,no_og
cele938,CE39213,no_og
cele939,CE42214,no_og
cele940,CE07815,no_og
cele941,CE07816,og
cele942,CE07817,og
cele943,CE07818,og
cele944,CE15571,no_og
cele945,CE34645,no_og
cele946,CE34646,no_og
cele947,CE38584,no_og
cele948,CE46661,no_og
cele949,CE38585,no_og
cele950,CE15573,no_og
cele951,CE15574,og
cele952,CE15575,no_og
cele953,CE31150,no_og
cele954,CE50298,og
cele955,CE44271,no_og
cele956,CE48874,no_og
cele957,CE47692,no_og
cele958,CE23512,no_og
cele959,CE06751,no_og
cele960,CE23513,og
cele961,CE34648,no_og
cele962,CE49312,no_og
cele963,CE07800,og
cele964,CE49421,no_og
cele965,CE34649,og
cele966,CE00863,no_og
cele967,CE19664,og
cele968,CE02958,no_og
cele969,CE37474,no_og
cele970,CE00866,og
cele971,CE00867,no_og
cele972,CE00868,og
cele973,CE00869,no_og
cele974,CE32563,og
cele975,CE24774,og
cele976,CE39126,og
cele977,CE00871,no_og
cele978,CE07801,no_og
cele979,CE41975,no_og
cele980,CE07802,og
cele981,CE07803,og
cele982,CE26905,og
cele983,CE07805,og
cele984,CE07806,og
cele985,CE07807,no_og
cele986,CE46280,no_og
cele987,CE33359,no_og
cele988,CE47756,no_og
cele989,CE49657,no_og
cele990,CE05184,no_og
cele991,CE36466,no_og
cele992,CE05186,no_og
cele993,CE42054,no_og
cele994,CE24775,og
cele995,CE30478,og
cele996,CE37806,og
cele997,CE39084,og
cele998,CE39085,no_og
cele999,CE39086,og
cele1000,CE50057,og
cele1001,CE05190,og
cele1002,CE40891,og
cele1003,CE40892,no_og
cele1004,CE40893,no_og
cele1005,CE42869,no_og
cele1006,CE07825,no_og
cele1007,CE38022,no_og
cele1008,CE38023,no_og
cele1009,CE38024,no_og
cele1010,CE07828,no_og
cele1011,CE38025,no_og
cele1012,CE38026,no_og
cele1013,CE51297,no_og
cele1014,CE38029,no_og
cele1015,CE16798,og
cele1016,CE24776,og
cele1017,CE29018,no_og
cele1018,CE16801,no_og
cele1019,CE16802,no_og
cele1020,CE49438,no_og
cele1021,CE20481,no_og
cele1022,CE31872,og
cele1023,CE02111,no_og
cele1024,CE40894,no_og
cele1025,CE40895,no_og
cele1026,CE33514,no_og
cele1027,CE47282,no_og
cele1028,CE45577,no_og
cele1029,CE03892,no_og
cele1030,CE24777,og
cele1031,CE47103,no_og
cele1032,CE29656,no_og
cele1033,CE03896,no_og
cele1034,CE06754,no_og
cele1035,CE30416,no_og
cele1036,CE41976,no_og
cele1037,CE49662,og
cele1038,CE52636,no_og
cele1039,CE07833,og
cele1040,CE07832,og
cele1041,CE38263,no_og
cele1042,CE23514,no_og
cele1043,CE29169,og
cele1044,CE39214,og
cele1045,CE41293,no_og
cele1046,CE41294,no_og
cele1047,CE44488,no_og
cele1048,CE36088,og
cele1049,CE36089,og
cele1050,CE36423,no_og
cele1051,CE36424,no_og
cele1052,CE36092,og
cele1053,CE32299,og
cele1054,CE47049,og
cele1055,CE24778,og
cele1056,CE00034,og
cele1057,CE39554,og
cele1058,CE39555,og
cele1059,CE44977,og
cele1060,CE28528,og
cele1061,CE32040,og
cele1062,CE52188,no_og
cele1063,CE16805,no_og
cele1064,CE07838,no_og
cele1065,CE51374,no_og
cele1066,CE17362,no_og
cele1067,CE07840,no_og
cele1068,CE46514,no_og
cele1069,CE07841,no_og
cele1070,CE07842,no_og
cele1071,CE07843,no_og
cele1072,CE07844,no_og
cele1073,CE07845,no_og
cele1074,CE25748,no_og
cele1075,CE40680,og
cele1076,CE50485,no_og
cele1077,CE50471,no_og
cele1078,CE45957,no_og
cele1079,CE50481,no_og
cele1080,CE50466,no_og
cele1081,CE50399,no_og
cele1082,CE30849,no_og
cele1083,CE03899,no_og
cele1084,CE40681,no_og
cele1085,CE46044,no_og
cele1086,CE03902,no_og
cele1087,CE40682,no_og
cele1088,CE24779,no_og
cele1089,CE07853,og
cele1090,CE52450,og
cele1091,CE46586,og
cele1092,CE07855,no_og
cele1093,CE49802,no_og
cele1094,CE02450,no_og
cele1095,CE43958,no_og
cele1096,CE25750,no_og
cele1097,CE39127,no_og
cele1098,CE36093,og
cele1099,CE41607,no_og
cele1100,CE44142,no_og
cele1101,CE36094,og
cele1102,CE38771,og
cele1103,CE00041,no_og
cele1104,CE51509,og
cele1105,CE24780,og
cele1106,CE30418,og
cele1107,CE00044,no_og
cele1108,CE26745,og
cele1109,CE35214,no_og
cele1110,CE40246,no_og
cele1111,CE07857,no_og
cele1112,CE07858,no_og
